0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:03 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:06 +0900] "POST /MySQLProject/Board/board_delete_pro.jsp?page=1 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:12 +0900] "POST /MySQLProject/Board/board_delete_pro.jsp?page=1 HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:17 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:17 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:18 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:18 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:18 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:18 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:19 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:22 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:23 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=1&page=1 HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:23 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:25 +0900] "GET /MySQLProject/Board/board_delete.jsp?idx=1&page=1 HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:25 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:27 +0900] "POST /MySQLProject/Board/board_delete_pro.jsp?page=1 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:33 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:33 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:37 +0900] "GET /MySQLProject/Board/board_write.jsp?page=0 HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:37 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:37 +0900] "GET /MySQLProject/Board/img/bullet-03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:37 +0900] "GET /MySQLProject/Board/img/bullet-02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:37 +0900] "GET /MySQLProject/Board/img/cancle.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:37 +0900] "GET /MySQLProject/Board/img/save.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:45 +0900] "POST /MySQLProject/Board/board_write_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:45 +0900] "GET /MySQLProject/Board/board_list.jsp?page=0 HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:54:46 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
